G402_177,G402_160,G402_178,G402_176,G517_3805,G402_159,G517_2617,G402_157,G517_3543,G517_3775,G517_344,G517_456,G402_167,G517_2012,G517_2793,G517_300,G517_2466,G517_1976,G517_305,G517_781,G517_1569,G402_143,G517_2295,G517_3009,G517_182,G517_1828,G517_2837,G517_2249,G517_1962,G402_158,G517_1048,G517_2526,G517_2520,G402_32,G517_1529,G517_2626,G517_889,G517_2959,G517_2735,G517_3776,G517_2848,G517_827,G517_497,G517_3279,G517_2419,G517_3207,G517_430,G517_502,G517_3362,G517_867,G517_3388,G517_85,G402_181,G517_2858,G517_2074,G517_2824,G517_1600,G517_2089,G517_116,G517_1077,G517_708,G517_1497,G402_189,G517_14,G517_2588,G517_2749,G517_2506,G517_2411,G517_2194,G517_2195,G517_2954,G402_8,G402_4,G402_179,G517_1610,G517_1961,G517_3363,G517_2335,G517_42,G517_3523,G402_147,G517_232,G517_126,G517_341,G517_1169,G517_369,G403_3,G517_3097
,45.0,,,0.53978,1141.0,0.875,1567.0,0.99979,11.08995,15930.0,,91384.0,0.55556,,17233.33333,,0.10082,40.0,,,,0.48286,0.67168,22500.0,,1.09239,,0.0,229.0,,0.0,0.77778,,0.8064100000000001,,42902.0,,,5.28061,1.14286,5950.0,,,0.0,1.23254,1885.0,,0.46893,3000.0,0.29268,,,0.91211,,1.66667,,10.0,,0.55556,38.0,0.14286,0.0,,1.30337,1.30806,0.63683,,,0.8539700000000001,1.44898,,,,0.08927,0.2439,0.61126,,,0.4,536.0,,,,0.0,,3.0,0.5152899999999999
1.0,49.0,0.0,2.0,0.86569,1633.0,0.57143,1633.0,0.99973,36.53054,48120.0,,205746.0,0.33333,,10968.57143,,0.37098,599.0,,,,0.5398,0.49573,19500.0,,1.56185,,0.09553,49.0,,0.99415,0.57143,,0.31984,,43270.0,,10.67278,3.00846,1.2,5510.0,,,0.36364,1.11037,10202.47619,,0.74242,5689.0,0.35042,,2.0,0.91843,,1.0,,599.0,,0.25,22.0,0.10526,,,1.32,1.29991,0.47394,3.87069,,0.84988,1.19149,,,0.0,0.05148,0.99448,0.45196,,,0.66667,871.0,,,,0.0,,2.0,0.77771
2.0,41.0,1.0,3.0,0.19793,620.0,0.66667,1806.0,0.9998,0.78838,23000.0,2102.0,40870.0,0.8,0.99975,16500.0,4.9995,1.81962,0.0,2789.0,0.95238,,2.09132,0.5669,91000.0,0.77778,2.15761,,0.74239,41.0,0.2037,1.81818,0.57143,1.0,0.55776,1.63807,40433.0,,0.09303,6.42486,1.5,19400.0,,0.67384,0.0,1.055,1440.0625,600.0,1.89531,17000.0,0.48069,1530.0,2.0,0.8900899999999999,510.0,2.0,0.95238,0.0,4999.0,0.30952,20.0,0.4,0.0,1010.0,1.54182,,0.65666,0.09303,1.23813,0.99986,2.07742,6.0,17.0,0.0,0.3909,0.0,0.29618,0.0,1932.25,0.4,771.0,,2206.10714,,0.0,21.0,2.0,11.05263
3.0,45.0,0.0,9.0,0.95521,502.0,0.8,441.0,0.99995,,127500.0,9263.33333,59160.0,0.0,,,5.55247,0.43412,50.0,4000.0,,21120.0,0.8465299999999999,0.5808800000000001,,,1.35865,,,45.0,,,0.8,,0.50225,,130270.0,,,,0.8,21120.0,,,2.0,0.26964,15539.75,,1.27785,800.0,0.76959,,7.0,0.9208,0.0,0.66667,,0.0,,0.06306,32.0,0.125,2.0,,1.07968,,0.69099,,0.99702,0.66567,1.83108,,3.0,2.0,0.10077,0.0,0.52625,20.61938,,0.33333,351.0,,,,1.0,,2.0,0.03622
2.0,40.0,0.0,4.0,0.40979,1440.0,0.84615,1805.0,0.99738,1.48309,10000.0,,120990.0,0.4,0.99996,22295.5,3.0996900000000003,1.03916,0.0,3000.0,,,1.12891,0.61908,31000.0,,1.96999,0.8738799999999999,0.99833,40.0,,0.99476,0.78571,3.0,0.14508,1.48221,47779.0,8.93177,,6.65129,1.18182,10000.0,24190.0,,0.0,0.006690000000000001,2577.225,,1.09596,31000.0,1.24482,5000.0,3.0,1.02209,0.0,3.0,,0.0,10000.0,0.42667,28.0,0.1,4.0,,1.44809,2.61842,0.5902,4.47138,1.11976,0.6762199999999999,1.28508,1.0,10.0,1.0,0.31467,0.0,0.30503,33.222590000000004,,0.5,10.0,,3049.9,290.0,0.0,1890.0,1.0,0.09709
2.0,39.0,0.0,3.0,0.12232,343.0,1.0,312.0,0.99994,1.78686,93790.0,,103710.0,0.8,,11912.5,,0.8407,40.0,,,,1.45487,,82680.0,,1.47181,,0.0,39.0,,0.90909,0.85714,,,4.25106,46360.0,,,3.8391,1.0,10000.0,,,0.0,0.6360399999999999,11040.0,,1.1071799999999998,200.0,0.58203,,3.0,0.98397,,1.5,,0.0,,0.375,19.0,0.33333,0.0,,1.57895,,0.58341,4.11376,,0.99975,4.10345,,,0.0,0.26154,0.0,0.23808,,,0.66667,831.0,,,240.0,0.0,2745.0,4.0,0.03585
5.0,51.0,2.0,9.0,0.13567,598.0,0.57143,567.0,0.99982,2.5924,23000.0,439.72222,47850.0,0.14286,0.99968,15061.11111,23.98801,2.14217,2.0,100.0,,18060.0,2.21155,1.4124,1860.0,0.625,2.21155,,,51.0,,0.99502,0.57143,2.0,0.18143,1.04485,36668.0,2.20731,13.30268,12.49822,1.2,8250.0,,0.9901,1.0,3.01933,2100.77419,,0.94599,3680.0,1.0439200000000002,3790.0,7.0,1.49461,0.12346,1.5,,0.66667,1730.0,0.07143,11.0,0.66667,0.0,,1.23129,1.48584,0.83931,0.99063,1.28038,,1.37069,2.0,5.0,0.0,0.05549,0.33333,0.12707000000000002,0.9901,,0.8,591.0,,2317.03704,6820.0,1.0,48.0,2.0,16.70695
3.0,43.0,0.0,5.0,0.0,561.0,0.875,561.0,1.04513,1.26712,28000.0,2625.0,61710.0,0.22222,,12000.0,0.28294,0.49244,0.0,8700.0,,,0.7109800000000001,0.50074,31000.0,0.84375,1.6853200000000002,,0.0,43.0,,25.45455,0.875,1.0,0.46632,1.23993,25550.0,2.0122400000000003,12.08531,7.696110000000001,0.875,4800.0,,0.48272,5.0,0.55115,2868.0857100000007,160811.0,1.38917,5440.0,0.47929,,2.0,1.22163,,3.16667,,0.0,4890.0,0.2619,6.0,0.07143,0.0,,1.29437,3.999,0.3958,4.62322,,0.999,1.3574,5.0,8.0,3.0,0.14865,0.0,0.5807399999999999,4.9505,,0.5,10.0,,,7800.0,1.0,1708.68182,1.0,5.4321
3.0,60.0,0.0,4.0,0.09219,576.0,0.8,545.0,1.40709,,10600.0,209.84615,22080.0,0.0,,10000.0,3.33311,1.00664,0.0,,,7080.0,1.33837,0.913,,0.43,1.63773,,0.99723,60.0,0.00541,0.98361,0.8,1.0,0.33166,0.63146,12572.0,1.86425,31.05788,,0.8,4999.0,,0.8459399999999999,3.0,2.35189,1300.29412,500.0,1.7799900000000002,1470.0,0.29126,,4.0,1.20385,140.0,0.75,,0.0,,0.13178,10.0,0.2,,1100.0,1.13812,,0.8578,2.68297,0.9096,0.99957,1.60849,6.0,8.0,0.0,0.0,0.0,0.26077,9.97804,,0.5,951.0,,,3900.0,1.0,,3.0,1.58596
1.0,37.0,0.0,1.0,0.4318,433.0,0.875,402.0,2.41381,1.92753,9920.0,336.0,15000.0,0.5,,5000.0,89.10891,1.0783200000000002,9.0,,,,1.26159,0.68197,10000.0,0.40909,1.81359,0.99999,0.9998,37.0,0.03846,0.90909,0.77778,14.0,0.48516,1.15121,53713.0,,0.88192,40.09294000000001,1.14286,10000.0,,0.99668,0.0,1.17482,2034.41667,100.0,1.3082,1990.0,0.3381,5000.0,1.0,1.0379200000000002,0.0,1.0,,0.0,4999.0,0.11722,14.0,0.22222,9.0,200.0,1.1875,3.3322199999999995,0.58515,0.35675,0.24755,0.99985,3.61947,35.0,39.0,0.0,0.53442,0.0,0.83306,4999.0,4999.0,0.66667,775.0,0.63561,2586.63636,13000.0,0.0,1586.6666699999996,4.0,0.41061
